#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus
ASV2120	Bacteria	WPS-2	NA	NA	NA	genus_WPS-2
ASV2122	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	genus_Caulobacteraceae
ASV2123	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	genus_Sphingomonadaceae
ASV2124	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	genus_Chthoniobacteraceae
ASV2125	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
ASV2126	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2158	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2160	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV2161	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila
ASV2178	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
ASV2179	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	genus_Fimbriimonadaceae
ASV2180	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	genus_Caulobacteraceae
ASV2182	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
ASV2183	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	genus_Ktedonobacteraceae
ASV2195	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	NA	genus_Armatimonadales
ASV2196	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
ASV2197	Bacteria	Cyanobacteria	Oxyphotobacteria	NA	NA	genus_Oxyphotobacteria
ASV2198	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	genus_Ktedonobacteraceae
ASV2199	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas
ASV2210	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Aquisphaera
ASV2224	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV2225	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2226	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	NA	genus_Armatimonadales
ASV2227	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella
ASV2228	Bacteria	WPS-2	NA	NA	NA	genus_WPS-2
ASV2229	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
ASV2230	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	genus_Ktedonobacteraceae
ASV2231	Bacteria	WPS-2	NA	NA	NA	genus_WPS-2
ASV2246	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	NA	genus_Kallotenuales
ASV2247	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhizobacter
ASV2267	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhizobacter
ASV2268	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
ASV2269	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2270	Bacteria	Actinobacteria	Actinobacteria	NA	NA	genus_Actinobacteria
ASV2271	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	genus_WD260
ASV2274	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
ASV2294	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter
ASV2295	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
ASV2296	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2297	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	genus_67-14
ASV2298	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV2322	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila
